年齢,性別,婚姻ステータス,部署,職種,給料,職位,勤続年数,勤務企業数,ストックオプション,昇給率,人事評価,残業,出張頻度,家からの距離,教育レベル,教育分野,昨年の研修受講回数,仕事への関与度,仕事満足度,職場環境満足度,人関関係満足度,ワークライフバランス,離職,入社日,退社日
55,男性,既婚,営業,マネージャー,19586,5,36,1,1,21,4,FALSE,たまに,26,5,マーケティング,3,2,4,3,3,3,FALSE,1981-06-09,
34,男性,既婚,研究開発,リサーチサイエンティスト,5484,2,9,9,1,17,3,FALSE,たまに,1,4,ライフサイエンス,3,3,4,2,2,2,FALSE,2015-11-08,
26,女性,既婚,研究開発,リサーチサイエンティスト,2061,1,1,1,0,21,4,FALSE,たまに,3,3,ライフサイエンス,5,3,4,1,1,3,FALSE,2016-03-12,
38,男性,既婚,営業,営業幹部,9924,2,10,0,1,11,3,FALSE,たまに,14,3,ライフサイエンス,3,3,2,3,4,3,FALSE,2008-07-04,
38,女性,独身,営業,営業幹部,4198,2,8,2,0,12,3,FALSE,たまに,16,3,ライフサイエンス,5,3,2,2,2,4,FALSE,2014-11-11,
36,女性,独身,営業,営業幹部,6815,2,15,6,0,13,3,FALSE,たまに,1,4,ライフサイエンス,5,3,3,2,1,3,FALSE,2016-11-22,
29,男性,独身,研究開発,ラボ技術者,4723,1,10,1,0,18,3,TRUE,たまに,3,1,医療,3,3,1,2,4,3,FALSE,2007-11-23,
35,女性,独身,研究開発,ヘルスケア担当,6142,2,10,3,0,16,3,TRUE,たまに,10,4,医療,4,3,3,1,3,3,FALSE,2012-12-31,
39,男性,既婚,営業,営業幹部,8237,3,11,2,1,11,3,FALSE,たまに,6,3,医療,3,4,3,4,1,3,FALSE,2010-10-07,
29,男性,離婚,研究開発,ヘルスケア担当,8853,2,6,1,1,19,3,FALSE,頻繁,2,1,ライフサイエンス,0,3,4,1,4,4,FALSE,2011-02-15,
50,男性,既婚,営業,マネージャー,19331,5,27,4,1,16,3,TRUE,たまに,9,3,マーケティング,2,3,3,3,3,3,FALSE,2016-12-04,
23,男性,既婚,研究開発,リサーチサイエンティスト,2073,1,4,2,1,16,3,FALSE,たまに,10,3,技術系,2,4,3,4,4,3,FALSE,2015-11-12,
36,男性,既婚,研究開発,ラボ技術者,5562,2,9,3,1,13,3,TRUE,頻繁,6,4,ライフサイエンス,3,4,1,1,4,3,FALSE,2014-12-15,
42,男性,独身,研究開発,マネージャー,19613,5,24,8,0,22,4,FALSE,たまに,9,2,その他,2,2,4,4,4,3,FALSE,2016-12-20,
35,男性,既婚,研究開発,ラボ技術者,3407,2,10,1,2,17,3,FALSE,たまに,28,3,ライフサイエンス,3,4,3,2,4,2,FALSE,2007-02-01,
34,男性,既婚,研究開発,ヘルスケア担当,5063,2,8,1,1,14,3,FALSE,頻繁,10,4,技術系,3,2,3,4,2,2,FALSE,2009-03-01,
40,女性,既婚,営業,営業幹部,4639,2,5,1,1,15,3,FALSE,たまに,14,2,ライフサイエンス,2,3,1,4,3,3,FALSE,2012-10-28,
43,男性,離婚,研究開発,ラボ技術者,4876,1,8,5,1,12,3,FALSE,たまに,27,3,技術系,0,4,2,4,3,3,FALSE,2011-07-05,
35,男性,既婚,研究開発,ラボ技術者,2690,1,1,1,1,18,3,FALSE,たまに,7,2,ライフサイエンス,5,2,4,3,4,2,FALSE,2016-09-11,
46,男性,独身,営業,マネージャー,17567,4,27,1,0,15,3,FALSE,たまに,1,4,ライフサイエンス,5,4,1,4,2,1,FALSE,1991-09-24,
28,男性,既婚,研究開発,ラボ技術者,2408,1,1,1,3,17,3,TRUE,たまに,24,3,医療,3,3,2,3,3,3,TRUE,2008-09-09,2009-10-26
22,女性,既婚,研究開発,リサーチサイエンティスト,2814,1,4,1,0,14,3,TRUE,なし,26,2,その他,2,2,3,2,2,2,FALSE,2013-07-29,
50,男性,既婚,研究開発,ヘルスケア担当,11245,4,32,2,1,15,3,TRUE,頻繁,20,5,医療,3,3,3,2,3,3,FALSE,1987-04-23,
32,女性,既婚,研究開発,リサーチサイエンティスト,3312,1,6,3,2,17,3,FALSE,たまに,5,4,その他,3,4,4,2,4,3,FALSE,2014-09-01,
44,女性,離婚,研究開発,リサーチディレクター,19049,5,23,0,1,14,3,TRUE,たまに,7,3,医療,4,3,4,2,4,2,FALSE,1995-04-21,
30,男性,既婚,研究開発,リサーチサイエンティスト,2141,1,6,1,1,12,3,FALSE,たまに,7,3,医療,3,2,2,2,2,2,FALSE,2011-03-01,
45,女性,独身,研究開発,ラボ技術者,5769,2,10,1,0,14,3,TRUE,たまに,5,5,医療,3,1,1,3,1,3,FALSE,2007-02-14,
45,男性,既婚,営業,営業幹部,4385,2,10,1,1,15,3,FALSE,なし,26,3,マーケティング,2,2,1,1,1,3,FALSE,2007-03-28,
31,男性,独身,営業,営業幹部,5332,2,10,7,0,13,3,FALSE,頻繁,2,4,その他,3,3,1,4,4,3,FALSE,2012-09-06,
36,女性,既婚,研究開発,製造ディレクター,4663,2,7,9,2,12,3,TRUE,たまに,12,4,ライフサイエンス,2,3,3,3,2,3,FALSE,2014-12-17,
34,男性,離婚,研究開発,製造ディレクター,4724,2,9,1,1,13,3,FALSE,頻繁,10,4,ライフサイエンス,3,4,4,3,1,3,FALSE,2008-02-10,
49,女性,既婚,研究開発,ラボ技術者,3211,1,10,1,1,14,3,FALSE,たまに,25,4,ライフサイエンス,3,3,1,3,4,2,FALSE,2008-05-13,
39,男性,既婚,研究開発,製造ディレクター,5377,2,10,2,3,13,3,FALSE,たまに,10,5,医療,3,3,1,2,4,3,FALSE,2010-06-13,
27,男性,離婚,研究開発,ラボ技術者,4066,1,7,1,2,11,3,FALSE,たまに,19,3,その他,3,2,1,4,1,3,FALSE,2010-03-28,
35,男性,既婚,研究開発,リサーチサイエンティスト,5208,2,16,1,0,11,3,FALSE,たまに,18,5,ライフサイエンス,2,4,1,2,4,3,FALSE,2001-11-27,
28,女性,離婚,研究開発,製造ディレクター,4877,2,6,0,1,21,4,FALSE,たまに,27,3,医療,5,1,1,2,2,2,FALSE,2012-04-03,
21,男性,独身,研究開発,リサーチサイエンティスト,3117,1,3,1,0,18,3,FALSE,たまに,5,1,医療,2,3,4,3,3,3,FALSE,2015-02-16,
18,女性,独身,営業,営業担当,1569,1,0,1,0,12,3,TRUE,頻繁,3,2,医療,2,3,4,2,3,4,TRUE,2010-08-22,2010-08-24
47,女性,既婚,人事,マネージャー,19658,5,27,3,1,11,3,FALSE,たまに,26,4,ライフサイエンス,2,3,3,4,3,3,FALSE,2012-01-26,
39,男性,離婚,研究開発,ラボ技術者,3069,2,11,0,1,15,3,FALSE,たまに,3,2,医療,3,2,3,3,4,3,FALSE,2007-08-06,
40,女性,既婚,研究開発,製造ディレクター,10435,3,18,1,2,13,3,FALSE,たまに,15,3,ライフサイエンス,2,2,3,1,4,3,FALSE,1999-03-20,
35,女性,既婚,研究開発,ヘルスケア担当,4148,2,15,1,1,12,3,FALSE,なし,8,4,ライフサイエンス,5,3,3,3,4,3,FALSE,2003-01-10,
37,男性,既婚,研究開発,製造ディレクター,5768,2,9,3,3,17,3,FALSE,たまに,19,3,ライフサイエンス,2,3,3,3,1,2,FALSE,2013-09-02,
39,女性,独身,研究開発,製造ディレクター,5042,2,10,0,0,13,3,FALSE,頻繁,4,3,医療,2,3,3,1,4,1,FALSE,2008-03-20,
45,女性,離婚,研究開発,製造ディレクター,5770,2,10,1,2,19,3,FALSE,たまに,2,2,その他,3,2,4,4,1,3,FALSE,2007-11-30,
38,女性,既婚,研究開発,製造ディレクター,7756,3,10,3,1,19,3,TRUE,たまに,2,2,医療,6,2,3,4,4,4,FALSE,2012-12-16,
35,男性,既婚,営業,営業幹部,10306,3,15,9,0,17,3,FALSE,たまに,10,3,医療,3,2,1,4,3,3,TRUE,2002-04-16,2015-10-21
37,女性,既婚,研究開発,リサーチサイエンティスト,3936,1,8,1,1,11,3,FALSE,たまに,10,3,医療,2,3,2,2,1,1,FALSE,2009-12-15,
40,女性,独身,研究開発,製造ディレクター,7945,3,18,6,0,15,3,TRUE,たまに,16,3,ライフサイエンス,2,3,4,3,4,2,FALSE,2013-11-30,
44,男性,既婚,人事,人事,5743,2,14,4,0,11,3,TRUE,頻繁,1,5,人事,3,3,4,1,3,3,FALSE,2007-04-26,
48,男性,既婚,研究開発,マネージャー,15202,4,23,2,1,25,4,FALSE,頻繁,4,5,医療,3,2,4,3,2,3,FALSE,2015-12-20,
35,男性,離婚,営業,営業幹部,5440,2,7,6,2,14,3,TRUE,たまに,15,2,医療,2,1,4,1,4,2,TRUE,2008-09-16,2011-02-20
24,女性,独身,研究開発,リサーチサイエンティスト,3760,1,6,1,0,13,3,TRUE,頻繁,2,1,技術系,2,3,4,1,3,3,FALSE,2011-03-31,
27,女性,既婚,研究開発,リサーチサイエンティスト,3517,1,5,7,0,17,3,FALSE,たまに,8,3,医療,0,4,3,2,1,3,FALSE,2014-03-04,
27,男性,独身,研究開発,リサーチサイエンティスト,2580,1,6,2,0,13,3,FALSE,頻繁,2,3,医療,0,3,4,4,3,2,FALSE,2013-08-15,
40,男性,独身,研究開発,ラボ技術者,2166,1,10,3,0,14,3,TRUE,たまに,7,3,ライフサイエンス,3,3,1,1,2,1,TRUE,2003-06-10,2008-01-20
29,男性,独身,営業,営業幹部,5869,2,8,9,0,11,3,FALSE,たまに,10,3,医療,2,2,3,3,3,3,FALSE,2012-08-28,
36,女性,既婚,研究開発,ヘルスケア担当,8008,3,9,4,2,12,3,FALSE,たまに,5,4,ライフサイエンス,6,3,1,2,3,3,FALSE,2014-06-21,
25,男性,離婚,研究開発,製造ディレクター,5206,2,7,1,2,17,3,FALSE,頻繁,2,1,ライフサイエンス,6,4,3,4,3,3,FALSE,2010-09-29,
39,男性,既婚,研究開発,製造ディレクター,5295,2,7,4,0,21,4,FALSE,たまに,12,3,医療,3,3,2,4,3,3,FALSE,2012-06-06,
49,女性,既婚,研究開発,リサーチディレクター,16413,4,27,3,2,16,3,FALSE,たまに,22,4,その他,2,3,2,1,2,3,FALSE,2013-02-05,
50,女性,離婚,研究開発,リサーチディレクター,13269,3,19,5,3,15,3,FALSE,たまに,17,5,ライフサイエンス,3,2,1,4,3,3,FALSE,2003-06-09,
20,女性,独身,営業,営業担当,2783,1,2,1,0,19,3,FALSE,たまに,2,3,医療,3,3,3,3,1,3,FALSE,2015-12-12,
34,女性,離婚,研究開発,リサーチサイエンティスト,5433,2,11,1,1,12,3,FALSE,たまに,3,3,ライフサイエンス,2,3,2,4,3,3,FALSE,2006-11-25,
36,男性,独身,研究開発,ラボ技術者,2013,1,15,2,0,11,3,FALSE,たまに,7,3,ライフサイエンス,4,3,2,1,3,3,FALSE,2013-09-04,
49,女性,既婚,研究開発,ヘルスケア担当,13966,4,30,2,1,19,3,TRUE,たまに,6,1,ライフサイエンス,3,2,3,3,2,3,FALSE,2002-01-05,
36,女性,既婚,研究開発,製造ディレクター,4374,2,4,0,0,15,3,FALSE,なし,1,4,医療,6,2,3,4,3,3,FALSE,2014-04-16,
36,男性,離婚,研究開発,ヘルスケア担当,6842,2,13,6,1,20,4,FALSE,たまに,3,2,ライフサイエンス,3,4,1,4,1,3,FALSE,2012-12-03,
54,女性,既婚,研究開発,マネージャー,17426,4,36,3,1,25,4,FALSE,たまに,22,5,医療,6,3,3,2,3,3,FALSE,2007-05-23,
43,男性,既婚,研究開発,リサーチディレクター,17603,4,14,1,1,24,4,FALSE,たまに,15,2,ライフサイエンス,3,2,3,3,1,3,FALSE,2003-07-06,
35,男性,独身,営業,営業幹部,4581,2,13,3,0,24,4,TRUE,頻繁,12,4,その他,2,3,4,4,1,4,TRUE,1998-06-20,2009-09-26
38,男性,既婚,研究開発,リサーチサイエンティスト,4735,2,19,7,2,15,3,FALSE,頻繁,1,3,ライフサイエンス,4,3,4,4,4,4,FALSE,2004-09-16,
29,男性,離婚,営業,営業幹部,4187,2,10,1,1,13,3,TRUE,たまに,5,3,医療,3,2,2,1,2,2,FALSE,2007-07-12,
33,男性,離婚,営業,営業幹部,5505,2,6,1,2,14,3,FALSE,たまに,2,4,医療,5,3,4,4,3,3,FALSE,2011-01-15,
32,男性,離婚,研究開発,リサーチサイエンティスト,5470,2,10,0,2,13,3,FALSE,たまに,2,3,医療,4,3,2,4,3,2,FALSE,2008-07-31,
31,女性,既婚,営業,営業幹部,5476,2,10,1,2,11,3,FALSE,たまに,5,4,ライフサイエンス,2,3,4,1,1,3,FALSE,2007-02-28,
49,女性,離婚,研究開発,ラボ技術者,2587,1,17,4,1,16,3,TRUE,たまに,16,3,医療,2,3,1,4,2,2,FALSE,2015-01-19,
38,女性,独身,研究開発,ラボ技術者,2440,1,4,1,0,22,4,FALSE,頻繁,2,3,医療,3,2,2,4,2,3,FALSE,2013-09-19,
47,女性,離婚,営業,マネージャー,15972,4,29,6,3,14,3,FALSE,たまに,2,4,ライフサイエンス,2,4,2,2,3,3,FALSE,2014-06-18,
49,男性,独身,研究開発,マネージャー,15379,4,23,4,0,14,3,FALSE,たまに,1,3,ライフサイエンス,2,3,3,3,1,3,FALSE,2009-06-03,
41,男性,独身,営業,営業幹部,7082,3,21,3,0,16,3,TRUE,たまに,23,2,ライフサイエンス,2,3,3,4,4,3,FALSE,2015-09-30,
20,男性,独身,営業,営業担当,2728,1,2,1,0,11,3,FALSE,たまに,9,1,ライフサイエンス,3,3,1,4,1,3,FALSE,2015-02-15,
33,女性,離婚,営業,営業幹部,5368,2,7,1,1,25,4,TRUE,なし,16,3,ライフサイエンス,2,3,4,3,3,3,FALSE,2011-02-14,
36,男性,既婚,研究開発,ヘルスケア担当,5347,2,10,6,2,14,3,FALSE,たまに,26,4,ライフサイエンス,2,3,3,1,2,2,FALSE,2014-01-06,
44,女性,離婚,人事,人事,3195,1,8,4,3,18,3,TRUE,たまに,1,3,ライフサイエンス,2,3,4,3,1,3,FALSE,2015-11-26,
23,男性,独身,研究開発,ラボ技術者,3989,1,5,1,0,11,3,TRUE,たまに,8,1,医療,2,2,3,4,1,3,TRUE,2005-12-27,2011-08-10
38,女性,既婚,研究開発,ラボ技術者,3306,1,7,7,1,19,3,FALSE,たまに,4,2,医療,5,3,3,4,4,2,FALSE,2017-04-19,
53,男性,既婚,研究開発,ヘルスケア担当,7005,3,11,3,0,15,3,FALSE,たまに,24,4,医療,2,4,4,2,3,3,FALSE,2013-11-08,
48,女性,既婚,営業,営業担当,2655,1,19,2,2,11,3,TRUE,頻繁,7,2,医療,3,3,3,4,3,3,TRUE,1998-09-18,2008-08-08
32,男性,独身,研究開発,ラボ技術者,1393,1,1,1,0,12,3,FALSE,たまに,2,4,ライフサイエンス,2,3,2,4,1,3,TRUE,2015-01-08,2016-03-07
26,男性,独身,研究開発,ラボ技術者,2570,1,7,1,0,20,4,FALSE,なし,7,3,医療,5,3,4,4,3,3,FALSE,2010-11-18,
55,男性,離婚,研究開発,リサーチサイエンティスト,3537,1,8,5,1,12,3,FALSE,たまに,22,3,技術系,1,2,2,1,4,3,FALSE,2013-01-09,
34,男性,既婚,研究開発,ラボ技術者,3986,2,15,1,1,14,3,FALSE,たまに,5,2,医療,3,2,4,2,3,4,FALSE,2002-05-18,
60,男性,離婚,研究開発,ヘルスケア担当,10883,3,19,3,1,20,4,FALSE,たまに,1,4,医療,2,1,4,3,3,4,FALSE,2016-12-25,
33,男性,既婚,研究開発,ラボ技術者,2028,1,14,1,3,18,3,FALSE,たまに,21,3,医療,6,4,2,2,4,3,FALSE,2003-03-05,
37,男性,離婚,営業,営業幹部,9525,2,6,1,2,14,3,FALSE,頻繁,1,4,医療,2,1,4,3,3,2,FALSE,2011-01-02,
34,女性,既婚,研究開発,リサーチサイエンティスト,2929,1,10,1,0,12,3,FALSE,たまに,19,3,ライフサイエンス,3,2,4,2,2,3,FALSE,2007-02-19,
23,男性,離婚,営業,営業担当,2275,1,3,1,1,21,4,TRUE,たまに,7,3,ライフサイエンス,2,3,4,3,2,3,TRUE,2010-08-10,2014-01-01
44,女性,既婚,研究開発,ヘルスケア担当,7879,3,9,1,1,19,3,TRUE,たまに,2,3,ライフサイエンス,2,4,4,3,2,3,FALSE,2009-01-25,
35,男性,独身,研究開発,リサーチサイエンティスト,4930,1,6,0,0,14,3,TRUE,頻繁,2,4,医療,2,2,4,1,3,4,FALSE,2012-09-05,
43,男性,既婚,営業,営業幹部,7847,2,10,1,1,17,3,TRUE,たまに,2,3,医療,3,3,4,4,1,3,FALSE,2007-01-12,
24,男性,既婚,研究開発,リサーチサイエンティスト,4401,1,5,1,1,16,3,FALSE,たまに,9,3,医療,1,4,3,3,4,3,FALSE,2012-06-10,
41,男性,独身,営業,営業幹部,9241,3,10,1,0,12,3,FALSE,たまに,6,3,マーケティング,3,3,3,4,2,3,FALSE,2007-06-04,
29,女性,既婚,研究開発,ラボ技術者,2974,1,9,9,1,17,3,FALSE,たまに,9,4,医療,2,3,3,4,3,3,FALSE,2012-03-06,
36,女性,独身,営業,営業担当,4502,2,17,3,0,15,3,FALSE,たまに,2,4,ライフサイエンス,2,3,4,3,3,2,FALSE,2004-10-21,
45,男性,既婚,研究開発,ヘルスケア担当,10748,3,25,3,1,23,4,FALSE,なし,1,1,ライフサイエンス,3,2,3,3,4,2,FALSE,1994-05-21,
24,男性,既婚,人事,人事,1555,1,1,1,1,11,3,FALSE,たまに,22,1,人事,2,1,3,4,3,3,TRUE,2015-06-21,2016-09-10
47,男性,既婚,営業,営業幹部,12936,4,25,7,0,11,3,FALSE,頻繁,9,3,ライフサイエンス,3,1,3,3,3,1,TRUE,1993-05-28,2016-06-05
26,男性,既婚,研究開発,ラボ技術者,2305,1,3,1,3,15,3,FALSE,たまに,17,4,医療,3,1,3,4,3,4,FALSE,2014-03-31,
45,女性,独身,研究開発,リサーチディレクター,16704,4,21,1,0,11,3,FALSE,たまに,28,2,技術系,2,2,2,4,3,3,FALSE,1996-05-13,
32,男性,既婚,研究開発,リサーチサイエンティスト,3433,1,10,6,1,13,3,FALSE,頻繁,10,3,ライフサイエンス,3,3,3,1,1,2,FALSE,2012-12-11,
31,男性,既婚,研究開発,ラボ技術者,3477,1,6,1,1,14,3,FALSE,たまに,2,4,ライフサイエンス,2,3,3,2,4,4,FALSE,2012-04-30,
41,男性,既婚,人事,人事,6430,2,10,6,1,19,3,FALSE,なし,4,3,人事,4,1,2,3,2,3,FALSE,2014-04-24,
40,女性,既婚,研究開発,製造ディレクター,6516,2,18,2,1,16,3,TRUE,たまに,8,2,ライフサイエンス,3,3,1,2,2,3,FALSE,2016-04-04,
24,男性,離婚,研究開発,ラボ技術者,3907,1,6,1,3,13,3,FALSE,たまに,29,1,医療,2,3,1,2,2,4,FALSE,2011-11-18,
46,男性,独身,研究開発,ヘルスケア担当,5562,2,19,6,0,14,3,FALSE,たまに,13,4,ライフサイエンス,3,3,2,3,4,3,FALSE,2007-11-08,
35,男性,既婚,研究開発,製造ディレクター,6883,2,17,2,1,16,3,FALSE,たまに,27,4,ライフサイエンス,3,3,3,4,2,3,FALSE,2010-10-29,
30,男性,既婚,研究開発,リサーチサイエンティスト,2862,1,10,1,1,12,3,FALSE,たまに,16,1,ライフサイエンス,2,3,4,2,2,2,FALSE,2007-12-30,
47,男性,既婚,営業,営業幹部,4978,2,4,7,1,11,3,FALSE,なし,2,4,マーケティング,3,3,2,3,4,1,FALSE,2016-05-15,
46,男性,離婚,営業,営業幹部,10368,3,13,4,1,12,3,TRUE,たまに,2,3,ライフサイエンス,5,3,4,3,2,2,FALSE,2007-08-19,
36,男性,離婚,営業,営業幹部,6134,2,16,5,3,13,3,TRUE,たまに,13,5,マーケティング,3,2,1,2,2,3,TRUE,2008-03-28,2010-07-07
32,男性,独身,営業,営業幹部,6735,2,10,6,0,15,3,FALSE,たまに,1,2,ライフサイエンス,2,1,2,1,2,3,TRUE,2015-03-05,2015-05-07
23,女性,独身,研究開発,ラボ技術者,3295,1,3,1,0,13,3,FALSE,たまに,4,1,医療,3,3,2,3,3,1,FALSE,2014-10-19,
31,女性,独身,研究開発,製造ディレクター,5238,2,9,2,0,20,4,FALSE,頻繁,24,1,技術系,3,3,4,4,4,2,FALSE,2012-10-12,
39,男性,既婚,研究開発,ラボ技術者,6472,2,9,1,1,15,3,TRUE,なし,1,3,ライフサイエンス,2,3,4,4,4,3,FALSE,2008-10-01,
32,男性,既婚,営業,営業幹部,9610,3,10,3,1,13,3,FALSE,たまに,19,3,ライフサイエンス,2,1,3,4,3,1,FALSE,2013-10-31,
40,男性,独身,営業,マネージャー,19833,5,21,1,0,14,3,FALSE,たまに,7,4,医療,3,3,2,2,2,2,FALSE,1996-01-31,
45,女性,既婚,人事,人事,9756,3,9,4,2,21,4,FALSE,たまに,4,3,ライフサイエンス,2,1,3,3,3,4,FALSE,2012-08-28,
30,女性,独身,研究開発,リサーチサイエンティスト,4968,1,10,0,0,16,3,FALSE,頻繁,2,4,技術系,2,2,1,4,4,3,FALSE,2008-12-01,
24,男性,既婚,人事,人事,2145,1,3,0,1,14,3,FALSE,頻繁,10,3,医療,2,3,4,1,4,3,FALSE,2015-08-17,
30,女性,離婚,人事,人事,2180,1,6,6,1,11,3,FALSE,頻繁,8,3,人事,0,2,4,3,3,2,TRUE,2012-02-27,2016-09-12
31,男性,既婚,営業,営業幹部,8346,2,6,1,1,19,3,FALSE,たまに,5,3,技術系,3,3,3,1,3,3,FALSE,2012-03-20,
27,女性,独身,研究開発,リサーチサイエンティスト,3445,1,6,1,0,11,3,FALSE,たまに,8,3,医療,5,3,4,3,3,2,FALSE,2011-09-07,
29,女性,独身,営業,営業担当,2760,1,2,1,0,13,3,FALSE,たまに,9,3,マーケティング,3,1,2,2,3,3,TRUE,2005-09-03,2008-07-05
29,男性,独身,研究開発,ヘルスケア担当,6294,2,10,8,0,12,3,TRUE,頻繁,1,3,ライフサイエンス,5,4,3,4,4,4,FALSE,2014-01-02,
30,男性,離婚,営業,営業幹部,7140,3,12,2,1,11,3,FALSE,たまに,15,2,マーケティング,2,2,1,3,1,3,FALSE,2010-10-16,
34,男性,既婚,研究開発,リサーチサイエンティスト,2932,1,6,0,3,14,3,TRUE,たまに,2,4,医療,3,4,4,4,1,3,FALSE,2012-07-26,
33,女性,独身,営業,営業幹部,5147,2,13,8,0,15,3,FALSE,なし,2,3,マーケティング,2,3,2,4,4,2,FALSE,2006-08-16,
49,女性,独身,営業,営業幹部,4507,2,8,3,0,12,3,FALSE,たまに,11,4,マーケティング,1,3,4,4,3,4,FALSE,2012-01-15,
33,女性,独身,営業,営業幹部,8564,3,11,2,0,20,4,TRUE,たまに,16,3,ライフサイエンス,2,3,1,1,3,2,TRUE,2012-04-17,2012-12-07
38,女性,既婚,研究開発,ラボ技術者,2468,1,9,4,1,14,3,FALSE,頻繁,2,2,医療,4,2,2,3,2,2,FALSE,2011-03-14,
31,男性,既婚,営業,営業幹部,8161,3,10,2,3,13,3,FALSE,たまに,16,4,マーケティング,2,3,3,1,1,3,TRUE,2009-09-27,2011-08-28
29,女性,離婚,研究開発,リサーチサイエンティスト,2109,1,1,1,1,13,3,FALSE,たまに,4,3,技術系,2,2,1,4,3,3,FALSE,2016-12-11,
30,男性,既婚,研究開発,ヘルスケア担当,5294,2,10,3,1,16,3,FALSE,たまに,16,3,ライフサイエンス,3,4,3,3,3,3,FALSE,2010-07-11,
32,男性,独身,研究開発,リサーチサイエンティスト,2718,1,12,2,0,14,3,FALSE,なし,5,4,技術系,3,3,2,2,2,3,FALSE,2010-04-22,
38,男性,既婚,研究開発,ヘルスケア担当,5811,2,15,3,1,16,3,TRUE,たまに,18,3,医療,2,1,4,2,3,3,FALSE,2016-12-16,
43,男性,既婚,研究開発,リサーチサイエンティスト,2437,1,6,9,1,16,3,TRUE,頻繁,17,3,技術系,4,2,3,3,4,3,TRUE,2011-05-27,2013-02-26
42,男性,離婚,研究開発,ラボ技術者,2766,1,7,8,3,22,4,FALSE,たまに,12,3,医療,6,3,2,2,2,2,FALSE,2012-05-30,
55,男性,既婚,研究開発,リサーチディレクター,19038,5,34,8,3,12,3,FALSE,たまに,2,3,医療,2,2,1,3,2,3,FALSE,2016-06-29,
33,男性,離婚,研究開発,リサーチサイエンティスト,3055,2,11,5,2,15,3,FALSE,なし,4,3,技術系,2,3,2,4,4,2,FALSE,2008-07-20,
41,男性,離婚,研究開発,ラボ技術者,2289,1,5,1,2,20,4,FALSE,たまに,9,4,ライフサイエンス,2,3,1,3,2,3,FALSE,2012-12-23,
34,男性,離婚,営業,営業幹部,4001,2,15,1,1,14,3,TRUE,なし,10,3,ライフサイエンス,3,3,3,4,3,3,FALSE,2002-01-15,
53,女性,既婚,研究開発,製造ディレクター,12965,4,27,4,3,20,4,TRUE,なし,1,4,医療,2,2,3,1,4,2,FALSE,2014-01-06,
43,男性,独身,人事,人事,3539,1,10,0,0,13,3,FALSE,たまに,2,3,ライフサイエンス,5,3,4,2,2,3,FALSE,2008-05-15,
34,女性,独身,営業,営業幹部,6029,2,6,5,0,12,3,FALSE,たまに,3,2,ライフサイエンス,3,1,4,4,1,3,FALSE,2015-07-31,
21,男性,独身,営業,営業担当,2679,1,1,1,0,13,3,FALSE,たまに,7,1,マーケティング,3,3,2,2,2,3,TRUE,2009-03-06,2010-06-11
38,女性,既婚,研究開発,ラボ技術者,3702,1,5,1,1,11,3,FALSE,たまに,6,2,その他,3,2,3,4,2,3,FALSE,2012-12-03,
22,女性,既婚,研究開発,ラボ技術者,2398,1,1,1,0,17,3,TRUE,たまに,8,1,医療,6,3,1,3,3,3,TRUE,2010-05-26,2011-09-23
31,女性,既婚,営業,営業幹部,5468,2,13,1,2,14,3,FALSE,たまに,29,4,マーケティング,3,2,4,1,1,3,FALSE,2005-02-09,
51,女性,既婚,研究開発,マネージャー,13116,3,15,2,0,11,3,FALSE,たまに,3,3,技術系,2,3,3,1,4,3,FALSE,2015-09-12,
37,男性,既婚,営業,営業幹部,4189,2,5,1,2,14,3,FALSE,たまに,9,2,マーケティング,2,2,2,2,1,3,FALSE,2012-08-07,
46,男性,離婚,研究開発,リサーチディレクター,19328,5,24,7,1,17,3,TRUE,たまに,2,4,医療,3,3,4,3,3,3,FALSE,2015-06-06,
36,男性,既婚,研究開発,ヘルスケア担当,8321,3,15,7,1,13,3,TRUE,たまに,10,3,ライフサイエンス,1,3,1,4,4,3,FALSE,2005-05-28,
44,男性,離婚,研究開発,リサーチサイエンティスト,2342,1,6,1,3,12,3,TRUE,頻繁,1,2,医療,2,3,2,3,3,2,TRUE,2012-04-28,2017-11-22
37,男性,離婚,人事,人事,4071,2,19,2,0,13,3,FALSE,たまに,8,2,その他,4,3,2,3,3,2,FALSE,2007-10-14,
35,男性,独身,営業,営業幹部,5813,2,10,1,0,18,3,TRUE,たまに,27,3,ライフサイエンス,2,3,4,3,4,3,TRUE,2000-03-16,2011-01-10
33,男性,既婚,研究開発,リサーチサイエンティスト,3143,1,14,6,1,19,3,FALSE,たまに,8,4,ライフサイエンス,1,4,1,4,2,3,FALSE,2007-12-20,
28,男性,既婚,研究開発,リサーチサイエンティスト,2044,1,5,1,1,11,3,FALSE,たまに,1,3,ライフサイエンス,6,3,4,3,3,4,FALSE,2012-05-18,
39,男性,独身,研究開発,リサーチディレクター,13464,3,9,7,0,21,4,FALSE,たまに,10,1,医療,3,3,3,3,3,3,FALSE,2013-07-27,
46,男性,独身,営業,営業幹部,7991,2,6,8,0,15,3,FALSE,なし,26,2,ライフサイエンス,3,2,2,2,3,3,FALSE,2015-08-25,
40,女性,既婚,研究開発,ラボ技術者,3377,1,7,4,1,17,3,FALSE,たまに,2,2,ライフサイエンス,5,3,1,3,4,2,FALSE,2013-03-25,
